objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area,bg_sigmaclip,mag_bgsub_sigmaclip
6372569316823400656,864695275.995,864695352.995,78.0,10.0,294.059,62.143,294.05960097187267,62.142925483444337,-80.1829,-99.0,19.466111804083333,20.006351459625606,19.312373137896813,320.56439086840612,0.47339678697656534,0.000368648,3.0008520291279597,0.83892774850822394,0.00174707109058782,0.50557620817843796,19.402393312335366
6371091543130902594,864695171.995,864695241.995,71.0,40.0,294.06,62.1403,294.06012429947668,62.139653338784989,-80.1829,-99.0,21.03387972203204,21.145533527889658,20.713623039002702,235.18114833282766,0.85957590634751979,0.000307295,2.2948692108888276,1.7861034168703613,0.00174707109058782,0.64436183395291113,20.818593806874457
6371091543130902402,864695171.995,864695241.995,71.0,11.0,294.147,62.1275,294.14764550017367,62.1280403375006,-80.1829,-99.0,21.070790069635819,21.463112018316153,20.114489615562384,223.12209078489514,0.89868096083949733,0.000300301,2.3746922003983033,1.9550388511496553,0.00174707109058782,0.68401486988847493,20.363388042194423
6371091541016971510,864735919.995,864735993.995,75.0,17.0,293.125,62.2635,293.12450208999098,62.264881089353054,-80.1829,-99.0,21.753050272812615,22.206174783708132,21.008244566823102,255.27625729417002,0.88283369611278095,0.000308885,1.5138457688151505,1.1245816356990808,0.00174707109058782,0.38029277506689702,21.207763536351763
6371091540983416985,864694510.995,864694578.995,64.0,38.0,293.132,62.2672,293.13249091215084,62.267478616281643,-80.1829,-99.0,21.5113686865507,21.515254928916711,21.036342207375267,274.05499689879804,1.0133030236059708,0.000329389,1.7599944492778514,1.7486112413893053,0.00174707109058782,0.58932787659373442,21.174431421833816
6371091540983417063,864694510.995,864694578.995,64.0,50.0,293.124,62.266,293.12344626595376,62.266212050678448,-80.1829,-99.0,22.248981414933205,22.255994726557024,21.576580092174979,270.60751677153524,1.015219696950433,0.000329336,1.8362361159956666,1.8225533358899293,0.00174707109058782,0.57925389579726039,21.748869093288029
6371091541019068632,864735919.995,864735993.995,75.0,28.0,293.131,62.266,293.13033564534004,62.266006585262005,21.08,0.496464,21.459306127295434,21.646093044965689,21.05394333417108,256.11588661145328,0.83958217100159904,0.00030862,1.503928606704128,1.1146721977922294,0.00174707109058782,0.42310719345191189,21.190602652202177
6371091541018022413,864735919.995,864735993.995,75.0,43.0,293.104,62.3317,293.1048715306564,62.331732135291382,21.2449,0.504223,21.131557499460364,21.210112135175976,20.983264659109317,254.19803262537158,0.8527732288065033,0.000304116,1.1055856114442855,0.74857859690572193,0.00174707109058782,0.27451597670391903,21.035324117171033
6371091540983417289,864694510.995,864694578.995,64.0,34.0,293.103,62.335,293.10212751371148,62.33462220259095,-80.1829,-99.0,24.673850999819138,26.062736858668355,21.843767362949574,269.31162888574045,0.95300462391238039,0.000325097,2.0557136663976925,1.943944691438604,0.00174707109058782,0.54903195340783806,22.17302743448619
6371091541016971823,864735919.995,864735993.995,75.0,1.0,293.102,62.3358,293.10428445990453,62.334804017553395,-80.1829,-99.0,18.280155996630779,18.549829296606834,17.871396034409113,252.67503474372137,0.83481147374468012,0.00030401,1.113218282074554,0.75161501344987625,0.00174707109058782,0.2921454430977487,18.012589488098815
