objid,t0,t1,t_raw,t_eff,ra,dec,racent,deccent,aper4,aper4_err,mag_bgsub_cheese,mag_bgsub,mag,distance,response,skybg,bg,bg_cheese,bg_eff_area
6384919063674490484,844425942.995,844426003.995,62.0,56.863050768784937,23.3304,-72.0785,23.331124648053844,-72.078607452092314,20.5098,0.330507,20.363902770323108,20.431762054508312,20.267943027816386,117.54690436227989,0.86859895772803419,0.000249757,2.0986549562260333,1.2675558201332544,0.001717506268540337
6384919063672393361,844425942.995,844426003.995,62.0,56.867918720152566,23.2692,-72.0742,23.271147642966667,-72.073800619500005,-80.1829,-99.0,22.36465135677458,22.920647260226815,21.845440050048616,121.47100143245868,0.85611221488821665,0.000251346,2.2030342236465827,1.3322914110580157,0.0017171543626653782
6384919063672393514,844425942.995,844426003.995,62.0,56.858435613301296,23.9579,-72.0399,23.961538221400001,-72.040943067200004,-80.1829,-99.0,24.507309020856546,nan,22.9489981838605,184.10891441776954,0.78850484657249431,0.00024981,1.7076393937303971,0.96631733285506827,0.0017092420738944096
6384919063672393527,844425942.995,844426003.995,62.0,56.862971393604525,23.8951,-72.0365,23.896807686999999,-72.035812706949997,-80.1829,-99.0,22.754261878819463,23.360943476686785,22.209557948905434,177.00691429792928,0.79805172731069851,0.000250763,1.6382810442421443,0.98865964611500357,0.00174707109058782
6384919063638839171,840787412.995,840787492.995,80.0,76.271238198482564,23.4342,-72.0407,23.434914583771427,-72.041072506414281,-80.1829,-99.0,21.429608729914243,21.523181657947131,21.233940866394686,134.98200996318994,0.84840510988568885,0.00024271,1.9308786779532621,1.3615500552387656,0.0016898325752522255
6384919063640936313,840787412.995,840787492.995,80.0,76.251940806362029,24.0498,-72.036,24.051086638199997,-72.035907340069997,21.0223,0.425902,20.89795619855585,20.98332317684946,20.773972417701366,184.36530243182153,0.79415633437768218,0.000243505,2.2111315202429682,1.3606351236060181,0.00174707109058782
6384919063674490668,844425942.995,844426003.995,62.0,56.834259789768616,24.0525,-72.0357,24.051852611307691,-72.035527601423084,20.275,0.308823,20.159272638541381,20.20211490075955,20.100450053013304,196.20000282496062,0.74464712800721078,0.000248803,1.5620767193518683,0.92159173833862507,0.00174707109058782
6384919063640936055,840787412.995,840787492.995,80.0,77.245994796938746,23.4426,-72.0804,23.44314412808265,-72.08058700380667,17.1104,0.0602632,17.12160699938509,17.140162099443611,17.111183884926906,111.51749411293714,0.8348621376712706,0.000244247,9.8167327302742944,3.5611695253613651,0.0017368330434502247
6384919063674490437,844425942.995,844426003.995,62.0,56.84873934950221,23.4427,-72.0804,23.443277262117594,-72.080512999754404,17.1351,0.0645813,17.109216265365834,17.127359848800495,17.099586844878989,118.3173870126829,0.90193202461629707,0.00025071,7.0023187401981009,2.4481468847477816,0.0017368849869711157
6384919063640936068,840787412.995,840787492.995,80.0,77.245994796938746,23.4553,-72.0818,23.455648239060714,-72.081967483421423,18.2315,0.100039,18.252489578096633,18.306956313088964,18.223648689844396,110.85762521671812,0.83728796716203757,0.000244353,9.881478371786848,3.5070777757849103,0.0017410257793222938
6384919063674490434,844425942.995,844426003.995,62.0,56.84873934950221,23.4557,-72.0817,23.455962401572737,-72.081816025321245,18.5924,0.126724,18.596170744921729,18.670723652373979,18.558696386277088,118.08769240806087,0.91306891822261071,0.000250922,7.0897167179560627,2.4534593007052274,0.0017417350241663676
6384919063638839209,840787412.995,840787492.995,80.0,76.237381807524088,23.5626,-72.0312,23.562408092739997,-72.031632324420002,-80.1829,-99.0,21.893270072842128,22.087789931351079,21.589344446185404,144.15676547130386,0.84088345749931359,0.000244935,2.1899872399839087,1.4524630379579599,0.00174707109058782
