#partition,minZoneID,maxZoneID,minZone,maxZone,partitionHeightInZones,DB
607,12385,12393,12385,12393,8,7
608,12394,12402,12394,12402,8,7
609,12403,12411,12403,12411,8,7
610,12412,12420,12412,12420,8,7
611,12421,12430,12421,12430,9,7
612,12431,12439,12431,12439,8,7
613,12440,12449,12440,12449,9,7
614,12450,12460,12450,12460,10,7
615,12461,12473,12461,12473,12,7
616,12474,12486,12474,12486,12,7
617,12487,12499,12487,12499,12,7
618,12500,12512,12500,12512,12,7
619,12513,12524,12513,12524,11,7
620,12525,12537,12525,12537,12,7
621,12538,12550,12538,12550,12,7
622,12551,12563,12551,12563,12,7
623,12564,12576,12564,12576,12,7
624,12577,12591,12577,12591,14,7
625,12592,12606,12592,12606,14,7
626,12607,12620,12607,12620,13,7
627,12621,12635,12621,12635,14,7
628,12636,12650,12636,12650,14,7
629,12651,12664,12651,12664,13,7
630,12665,12680,12665,12680,15,7
631,12681,12695,12681,12695,14,7
632,12696,12712,12696,12712,16,7
633,12713,12728,12713,12728,15,7
634,12729,12745,12729,12745,16,7
635,12746,12761,12746,12761,15,7
636,12762,12775,12762,12775,13,7
637,12776,12788,12776,12788,12,7
638,12789,12799,12789,12799,10,7
639,12800,12809,12800,12809,9,7
640,12810,12819,12810,12819,9,7
641,12820,12828,12820,12828,8,7
642,12829,12836,12829,12836,7,7
643,12837,12845,12837,12845,8,7
644,12846,12853,12846,12853,7,7
645,12854,12861,12854,12861,7,7
646,12862,12869,12862,12869,7,7
647,12870,12877,12870,12877,7,7
648,12878,12885,12878,12885,7,7
649,12886,12894,12886,12894,8,7
650,12895,12903,12895,12903,8,7
651,12904,12913,12904,12913,9,7
652,12914,12924,12914,12924,10,7
653,12925,12936,12925,12936,11,7
654,12937,12949,12937,12949,12,7
655,12950,12968,12950,12968,18,7
656,12969,12986,12969,12986,17,7
657,12987,13004,12987,13004,17,7
658,13005,13023,13005,13023,18,7
659,13024,13042,13024,13042,18,7
660,13043,13060,13043,13060,17,7
661,13061,13079,13061,13079,18,7
662,13080,13098,13080,13098,18,7
663,13099,13117,13099,13117,18,7
664,13118,13138,13118,13138,20,7
665,13139,13159,13139,13159,20,7
666,13160,13179,13160,13179,19,7
667,13180,13198,13180,13198,18,7
668,13199,13217,13199,13217,18,7
669,13218,13236,13218,13236,18,7
670,13237,13256,13237,13256,19,7
671,13257,13274,13257,13274,17,7
672,13275,13292,13275,13292,17,7
673,13293,13311,13293,13311,18,7
674,13312,13331,13312,13331,19,7
675,13332,13351,13332,13351,19,7
676,13352,13371,13352,13371,19,7
677,13372,13391,13372,13391,19,7
678,13392,13410,13392,13410,18,8
679,13411,13427,13411,13427,16,8
680,13428,13445,13428,13445,17,8
681,13446,13463,13446,13463,17,8
682,13464,13480,13464,13480,16,8
683,13481,13497,13481,13497,16,8
684,13498,13514,13498,13514,16,8
685,13515,13533,13515,13533,18,8
686,13534,13552,13534,13552,18,8
687,13553,13572,13553,13572,19,8
688,13573,13592,13573,13592,19,8
689,13593,13612,13593,13612,19,8
690,13613,13633,13613,13633,20,8
691,13634,13653,13634,13653,19,8
692,13654,13675,13654,13675,21,8
693,13676,13696,13676,13696,20,8
694,13697,13717,13697,13717,20,8
695,13718,13738,13718,13738,20,8
696,13739,13758,13739,13758,19,8
697,13759,13777,13759,13777,18,8
698,13778,13795,13778,13795,17,8
699,13796,13812,13796,13812,16,8
700,13813,13828,13813,13828,15,8
701,13829,13844,13829,13844,15,8
702,13845,13860,13845,13860,15,8
703,13861,13876,13861,13876,15,8
704,13877,13892,13877,13892,15,8
705,13893,13909,13893,13909,16,8
706,13910,13925,13910,13925,15,8
707,13926,13942,13926,13942,16,8
708,13943,13958,13943,13958,15,8
709,13959,13974,13959,13974,15,8
710,13975,13991,13975,13991,16,8
711,13992,14008,13992,14008,16,8
712,14009,14025,14009,14025,16,8
713,14026,14040,14026,14040,14,8
714,14041,14054,14041,14054,13,8
715,14055,14067,14055,14067,12,8
716,14068,14080,14068,14080,12,8
717,14081,14092,14081,14092,11,8
718,14093,14104,14093,14104,11,8
719,14105,14116,14105,14116,11,8
720,14117,14129,14117,14129,12,8
721,14130,14141,14130,14141,11,8
722,14142,14155,14142,14155,13,8
723,14156,14170,14156,14170,14,8
724,14171,14188,14171,14188,17,8
725,14189,14205,14189,14205,16,8
726,14206,14223,14206,14223,17,8
727,14224,14241,14224,14241,17,8
728,14242,14259,14242,14259,17,8
729,14260,14278,14260,14278,18,8
730,14279,14296,14279,14296,17,8
731,14297,14312,14297,14312,15,8
732,14313,14329,14313,14329,16,8
733,14330,14346,14330,14346,16,8
734,14347,14363,14347,14363,16,8
735,14364,14379,14364,14379,15,8
736,14380,14395,14380,14395,15,8
737,14396,14411,14396,14411,15,8
738,14412,14427,14412,14427,15,8
739,14428,14444,14428,14444,16,8
740,14445,14461,14445,14461,16,8
741,14462,14479,14462,14479,17,8
742,14480,14496,14480,14496,16,8
743,14497,14514,14497,14514,17,8
744,14515,14531,14515,14531,16,8
745,14532,14548,14532,14548,16,8
746,14549,14566,14549,14566,17,8
747,14567,14584,14567,14584,17,8
748,14585,14601,14585,14601,16,8
749,14602,14619,14602,14619,17,8
750,14620,14637,14620,14637,17,8
751,14638,14655,14638,14655,17,8
752,14656,14672,14656,14672,16,8
753,14673,14689,14673,14689,16,8
754,14690,14705,14690,14705,15,8
755,14706,14721,14706,14721,15,8
756,14722,14735,14722,14735,13,8
757,14736,14750,14736,14750,14,8
758,14751,14765,14751,14765,14,8
759,14766,14779,14766,14779,13,8
760,14780,14793,14780,14793,13,8
761,14794,14807,14794,14807,13,8
762,14808,14822,14808,14822,14,8
763,14823,14836,14823,14836,13,8
764,14837,14851,14837,14851,14,8
765,14852,14865,14852,14865,13,8
766,14866,14880,14866,14880,14,8
767,14881,14892,14881,14892,11,8
