,ix,skypos,band,theCount,t0,t1,globalcount,stimcount,exptime,deadtime
1177,3263,73.2361767732_75.3245306114,FUV,8675,824178916.995,824179032.995,512343.0,8675.0,115.0,0.0252385714286
1178,3273,99.2171169939_79.5934413507,FUV,7724,846839355.995,846839459.995,461882.0,7724.0,98.9950000048,0.0253781318681
1179,3175,220.869323881_64.4454175457,FUV,89967,864505166.995,864506361.995,3083405.0,89967.0,1195.0,0.0147443156007
1180,3179,220.869323881_64.4454175457,FUV,97233,864664927.995,864666219.995,3289437.0,97233.0,1283.99000001,0.0145485935427
1181,3283,212.587397153_89.416008191,FUV,10083,886193677.995,886193812.995,487256.0,10083.0,34.9400001764,0.0206245925926
1182,3189,176.79958607_60.4250047135,FUV,8178,855341001.995,855341109.995,178830.0,8178.0,108.0,0.0094619047619
1183,3185,69.7851963034_54.8975986573,FUV,8376,819699023.995,819699139.995,1029381.0,8376.0,115.0,0.0507084236453
1184,3293,242.067995616_80.9303421966,FUV,18740,851181541.995,851181792.995,785501.0,18740.0,211.99000001,0.0178827774616
1185,3199,303.657885383_74.811396911,FUV,8285,815818298.995,815818409.995,454020.0,8285.0,110.0,0.023372972973
1186,3195,262.583171372_71.1419816844,FUV,7947,855867984.995,855868090.995,310974.0,7947.0,106.0,0.016764097035
1187,3209,190.636779772_53.717285024,FUV,8250,887306071.995,887306180.995,149055.0,8250.0,94.5349999666,0.00781415465269
1188,3303,280.880848689_79.197451037,FUV,8163,846620866.995,846620975.995,413584.0,8163.0,108.0,0.0216819921363
1189,3313,217.550463721_74.7763420485,FUV,7839,793953600.995,793953704.995,256596.0,7839.0,93.8980000019,0.0140986813187
1190,2727,179.300024938_85.1909537442,FUV,7758,846720886.995,846720989.995,295490.0,7758.0,97.9950000048,0.0163933425798
1191,2737,90.5900912481_76.4742040271,FUV,8004,846838788.995,846838895.995,377666.0,8004.0,106.0,0.0201690787717
1192,2747,27.9772453197_87.0292843378,FUV,8195,816102300.995,816102409.995,358652.0,8195.0,108.0,0.0188022018349
1193,2757,176.956254006_71.3848559119,FUV,7859,856139125.995,856139230.995,304672.0,7859.0,94.4349999428,0.0165807891156
1194,2767,257.740451806_59.6491112467,FUV,99333,767418778.995,767420104.995,4755314.0,99333.0,1326.0,0.0204926265891
1195,2777,257.740451806_59.6491112467,FUV,98142,807178678.995,807179966.995,335508.0,98142.0,110.689998865,0.00148850044366
1196,2787,64.7259471695_78.7418970648,FUV,7523,842318655.995,842318757.995,576770.0,7523.0,97.9950000048,0.0323120448179
1197,2797,128.704020239_78.9731616035,FUV,11610,758541951.995,758542105.995,347502.0,11610.0,154.0,0.01289432282
1198,2807,219.17922271_72.8619339265,FUV,8018,855744022.995,855744128.995,209881.0,8018.0,106.0,0.0113143396226
1199,2817,133.8919638_77.3252050292,FUV,8364,847247274.995,847247385.995,271172.0,8364.0,110.0,0.0139599485199
1200,2827,233.392592219_66.6447061451,FUV,8270,763229432.995,763229542.995,284465.0,8270.0,110.0,0.0147774025974
1201,2837,58.143877375_65.6380771728,FUV,8667,819900312.995,819900428.995,489569.0,8667.0,115.0,0.0241166995074
1202,2847,228.050644544_84.6111233577,FUV,8403,815865924.995,815866036.995,352843.0,8403.0,106.997999907,0.0180021938776
1203,2857,154.093489009_69.6403409394,FUV,8303,851388451.995,851388561.995,241689.0,8303.0,98.2250000238,0.0125552727273
1204,2867,38.7031954267_63.4034181125,FUV,17331,850477143.995,850477389.995,3355261.0,17331.0,211.995000005,0.077938699187
1205,2877,126.236340876_54.4915195978,FUV,18945,851157877.995,851158128.995,548250.0,18945.0,215.995000005,0.0124815025612
1206,2887,131.176105333_53.4810724371,FUV,14756,916578055.995,916578250.995,314861.0,14756.0,185.49000001,0.0092266959707
1207,2897,186.014289516_64.3314058805,FUV,8091,855529908.995,855530015.995,189243.0,8091.0,91.1549999714,0.010106435247
1208,2907,132.98397322_56.8612789755,FUV,127816,758363896.995,758365595.995,4411699.0,127816.0,1699.0,0.0148379685529
1209,2917,147.27269949_76.4186683134,FUV,10483,754606051.995,754606190.995,319635.0,10483.0,139.0,0.0131401849949
1210,2927,179.975653596_71.3120848035,FUV,8323,856139263.995,856139373.995,187053.0,8323.0,93.75,0.00971703896104
1211,2937,6.01761206772_83.2125672442,FUV,8676,820042451.995,820042567.995,459400.0,8676.0,115.0,0.0226305418719
1212,2947,200.848317928_62.4211808785,FUV,8158,855920663.995,855920771.995,176830.0,8158.0,98.0049999952,0.00935608465608
1213,2957,176.243386012_62.7870770571,FUV,8308,759020780.995,759020890.995,228892.0,8308.0,106.720000029,0.0118904935065
1214,2967,160.788616497_63.0401697434,FUV,128944,917832092.995,917833797.995,2672591.0,128944.0,1700.995,0.00895715458735
1215,2977,197.123137373_56.4149360188,FUV,18003,887371153.995,887371391.995,367234.0,18003.0,157.164999962,0.00881714285714
1216,2987,189.288709183_60.1820685577,FUV,118647,887359033.995,887360599.995,2170248.0,118647.0,1566.0,0.00791916803503
1217,2997,117.348194631_84.5683930463,FUV,8475,816184832.995,816184945.995,301346.0,8475.0,112.0,0.0152387357775
1218,3007,249.787948095_66.3393399024,FUV,90197,899185309.995,899186508.995,3242999.0,90197.0,1199.0,0.0154557321578
1219,3017,184.341969909_75.7305511683,FUV,8974,754706904.995,754707023.995,294026.0,8974.0,119.0,0.0141188955582
1220,3027,84.6258710728_61.6989791213,FUV,8137,850484051.995,850484160.995,441325.0,8137.0,109.0,0.0231363040629
1221,3037,45.1955195311_65.0876641155,FUV,8011,850578128.995,850578237.995,783240.0,8011.0,109.0,0.0410610747051
1222,3047,350.455463037_81.1857926971,FUV,8693,820043337.995,820043454.995,605389.0,8693.0,112.998999953,0.0295672283272
